Date,Name,locations,Founded,Employees,Skill,About,Link
2024-Feb-27,Fortanix - Sr. Software Development Engineer in Test,,Founded in 2016 , 10 - 50 employees,"Python, Automation Testing, Performance Testing, SDET, +2","Fortanix is a Computer & Network Security company that has expertise in Runtime Encryption, Intel SGX, Self-Defending Key Management Service, HSM as a service, etc.",https://www.instahyre.com/job-304499-sr-software-development-engineer-in-test-at-fortanix-bangalore/
2024-Feb-27,Grab.in - Data Engineer,Chennai,Founded in 2013 , 500 - 1000 employees,"Python, Azure Synapse, Azure Data Lake, SQL, +1","Grab is a last-mile logistic company that offers tech-enabled hyperlocal and intracity delivery solutions for businesses that seek to deliver products frequently such as groceries, restaurants, pharmacies, etc.",https://www.instahyre.com/job-304475-data-engineer-at-grab-7-work-from-home/
2024-Feb-27,Inspire Brands - Senior ML Manager,,Founded in 2018 , More than 1000 employees,"Python, Machine Learning, TensorFlow, NLP, PyTorch","Inspire Brands is a multi-brand restaurant company that is curating and growing a portfolio of high-value brands like Arby's, Baskin-Robbins, Buffalo Wild Wings, Dunkin', Jimmy John's, Rusty Taco, and Sonic.",https://www.instahyre.com/job-304552-senior-ml-manager-at-inspire-brands-hyderabad/
2024-Feb-27,Phamax - Full Stack Engineer,Mumbai,Founded in 2011 , 10 - 50 employees,"Python, Django, Node.js, Angular, React.js","Phamax is a specialized healthcare research, consulting, and technology firm that supports healthcare firms in commercial, scientific, and digital analytics and offers business strategy and planning solutions.",https://www.instahyre.com/job-304554-full-stack-engineer-at-phamax-bangalore/
2024-Feb-27,Pixfirst - Business Intelligence Analyst,,Founded in 2011 , 0 - 10 employees,"Python, Microsoft Excel, Power BI, QlikView, R, SAS, SQL","Pixfirst is a technology-driven photography startup that allows photographers to upload and sell their pictures taken for weddings, streets, theme parks, clubs and hotels, marathons, rafting, and more.",https://www.instahyre.com/job-304532-business-intelligence-analyst-at-pixfirst-bangalore/
2024-Feb-27,Recro - Data Engineer,Bangalore,Founded in 2014 , 200 - 500 employees,"Python, ETL, SQL, Tableau, Big Data",Recro is a developer-focused platform bridging the gap between talent and opportunity by seamlessly matching individual expertise with the right opportunities in high-growth organizations.,https://www.instahyre.com/job-304496-data-engineer-at-recro-2-work-from-home/
2024-Feb-27,Reify Health - Sr. Staff Engineer,,Founded in 2012 , More than 1000 employees,"Python, Agile, AWS","Reify Health is a cloud-based software firm providing clinical optimization tools for patient enrollment and transformative trial infrastructure, delivering research directly to healthcare communities and patients.",https://www.instahyre.com/job-304472-sr-staff-engineer-at-reify-health-work-from-home/
2024-Feb-27,Softvan - Backend Developer,Bangalore,Founded in 2014 , 50 - 200 employees,"Python, MongoDB, Microservices, Docker, SQL","Softvan is an innovation-driven IT firm that specializes in AI, big data, IoT, and cloud to offer services for video streaming, chatbot, voice solution, enterprise solutions development, and business intelligence.",https://www.instahyre.com/job-304540-backend-developer-at-softvan-ahmedabad/
2024-Feb-27,Stader Labs - Senior Backend Engineer,,Founded in 2021 , 0 - 10 employees,"Python, Golang","Stader Labs is building decentralized financial protocols and applications for sustainable staking management and yields from digital assets on public blockchain networks like Ethereum, terra, polygon, and Solana.",https://www.instahyre.com/job-304580-senior-backend-engineer-at-stader-labs-work-from-home/
2024-Feb-27,TheMathCompany - Manager - Data Engineering,Work From Home,Founded in 2016 , More than 1000 employees,"Python, PySpark, ETL, Scala, Spark","Helps enterprise companies build and upgrade in-house analytics centers. Works with Fortune 500 organizations spanning Retail, Banking, Insurance, Healthcare, e-Commerce, Technology and Hospitality domains.",https://www.instahyre.com/job-304494-manager-data-engineering-at-themathcompany-bangalore/
2024-Feb-27,Voereir AB - MTS - 1 (Python Developer),,Founded in 2015 , 10 - 50 employees,"Python, Flask, Django, Cloud Computing, Linux","Voereir offers cloud infrastructure solutions. The company offers a tool suite to manage cloud infrastructure. Headquartered in Sweden with an office in India, the founders are from Ericsson.",https://www.instahyre.com/job-304581-mts-1-python-developer-at-voereir-ab-noida/
2024-Feb-27,Voereir AB - MTS - 2 (Python Developer),Hyderabad,Founded in 2015 , 10 - 50 employees,"Python, Cloud Computing, Django, Flask","Voereir offers cloud infrastructure solutions. The company offers a tool suite to manage cloud infrastructure. Headquartered in Sweden with an office in India, the founders are from Ericsson.",https://www.instahyre.com/job-304583-mts-2-python-developer-at-voereir-ab-noida/
